"Car [id=974, make=Hyundai, model=Scoupe, color=Violet, year=1992, price=54831.4]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=763, make=Pontiac, model=Grand Am, color=Crimson, year=1988, price=53152.66]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=797, make=Ford, model=Escort, color=Orange, year=1999, price=95753.7]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=531, make=Dodge, model=Ram 1500, color=Violet, year=1997, price=62731.8]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=43, make=Pontiac, model=Grand Prix, color=Maroon, year=1970, price=38983.66]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=608, make=Chevrolet, model=Suburban 2500, color=Mauv, year=1998, price=30197.3]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=642, make=Plymouth, model=Neon, color=Mauv, year=1999, price=60222.1]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=25, make=Pontiac, model=Trans Sport, color=Violet, year=1999, price=86768.64]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=850, make=Ford, model=Econoline E150, color=Violet, year=1992, price=47156.56]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=547, make=Volkswagen, model=Cabriolet, color=Green, year=1985, price=45300.85]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=280, make=Mercedes-Benz, model=SL-Class, color=Blue, year=1990, price=10250.25]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=539, make=Mercury, model=Grand Marquis, color=Indigo, year=1993, price=46297.76]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=95, make=Volkswagen, model=Passat, color=Purple, year=2000, price=65050.34]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=984, make=Plymouth, model=Grand Voyager, color=Yellow, year=1999, price=9517.61]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=834, make=Subaru, model=Impreza, color=Orange, year=1993, price=62008.45]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=180, make=Volkswagen, model=rio, color=Red, year=1996, price=43274.65]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=18, make=Dodge, model=Caravan, color=Indigo, year=1994, price=91278.31]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=69, make=Buick, model=Coachbuilder, color=Teal, year=1994, price=60413.56]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=47, make=Mazda, model=929, color=Fuscia, year=1995, price=19263.84]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=76, make=Pontiac, model=Firebird, color=Teal, year=2000, price=83071.11]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=597, make=Fillmore, model=Fillmore, color=Maroon, year=1960, price=11805.71]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=958, make=Oldsmobile, model=Regency, color=Aquamarine, year=1998, price=44813.55]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=75, make=Ford, model=LTD Crown Victoria, color=Teal, year=1985, price=64176.1]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=181, make=Isuzu, model=Trooper, color=Purple, year=1992, price=69932.64]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=952, make=Alfa Romeo, model=Spider, color=Green, year=1994, price=33403.79]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=960, make=Infiniti, model=Q, color=Purple, year=1993, price=66975.92]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=900, make=Ford, model=Taurus, color=Yellow, year=1990, price=94829.15]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=70, make=GMC, model=Savana 1500, color=Red, year=1997, price=40806.87]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=699, make=Audi, model=Quattro, color=Indigo, year=1994, price=94669.14]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=836, make=Plymouth, model=Prowler, color=Aquamarine, year=2000, price=55208.19]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=155, make=Chevrolet, model=G-Series G20, color=Crimson, year=1992, price=78369.18]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=437, make=Infiniti, model=QX, color=Red, year=1999, price=95493.79]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=740, make=Cadillac, model=Eldorado, color=Violet, year=2000, price=69046.23]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=845, make=Honda, model=CR-V, color=Maroon, year=2000, price=99559.77]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=460, make=Volkswagen, model=Cabriolet, color=Red, year=1995, price=48176.33]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=321, make=Lincoln, model=Continental, color=Green, year=1996, price=65909.19]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=522, make=Pontiac, model=Firefly, color=Pink, year=1990, price=14182.04]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=461, make=Chevrolet, model=Camaro, color=Indigo, year=2000, price=8981.21]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=820, make=Oldsmobile, model=Cutlass, color=Maroon, year=1997, price=80126.29]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=491, make=Ford, model=Econoline E150, color=Green, year=1995, price=24884.39]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=641, make=Dodge, model=Stratus, color=Mauv, year=1998, price=46343.13]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=716, make=Hyundai, model=Sonata, color=Red, year=1996, price=39077.13]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=732, make=Mitsubishi, model=Galant, color=Mauv, year=1997, price=15553.56]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=128, make=Mitsubishi, model=Mighty Max Macro, color=Green, year=1993, price=28450.07]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=351, make=Toyota, model=Paseo, color=Khaki, year=1993, price=37711.34]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=19, make=Lamborghini, model=Diablo, color=Teal, year=1999, price=27438.22]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=149, make=Pontiac, model=Grand Am, color=Yellow, year=2000, price=80581.15]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=759, make=Chrysler, model=Sebring, color=Yellow, year=1997, price=69509.11]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=874, make=Ford, model=E-Series, color=Green, year=1994, price=78368.26]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=851, make=Acura, model=Legend, color=Goldenrod, year=1990, price=71124.08]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=96, make=Mazda, model=Miata MX-5, color=Puce, year=1995, price=36391.78]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=400, make=Nissan, model=300ZX, color=Fuscia, year=1994, price=27127.9]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=696, make=Pontiac, model=Firefly, color=Purple, year=1984, price=44267.5]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=664, make=GMC, model=Sonoma Club Coupe, color=Yellow, year=1997, price=44341.0]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=150, make=Nissan, model=Sentra, color=Goldenrod, year=1994, price=72513.19]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=389, make=Kia, model=Sportage, color=Green, year=1997, price=66723.19]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=484, make=Honda, model=CR-X, color=Aquamarine, year=1985, price=23012.32]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=471, make=Toyota, model=Land Cruiser, color=Teal, year=1995, price=84091.61]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=927, make=Mazda, model=Miata MX-5, color=Orange, year=1999, price=87678.43]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=892, make=Ford, model=Mustang, color=Indigo, year=1974, price=93853.16]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=681, make=Ford, model=Econoline E150, color=Teal, year=1994, price=37000.17]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=707, make=Ford, model=Contour, color=Yellow, year=1995, price=42143.62]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=564, make=Mitsubishi, model=Chariot, color=Turquoise, year=1993, price=87653.9]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=667, make=Mercury, model=Topaz, color=Puce, year=1991, price=20119.8]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=260, make=Honda, model=Accord, color=Mauv, year=1986, price=29485.24]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=387, make=Ford, model=Explorer, color=Pink, year=1991, price=81241.05]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=809, make=Eagle, model=Vision, color=Pink, year=1997, price=75711.73]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=224, make=Chevrolet, model=Tahoe, color=Mauv, year=1998, price=97928.28]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=694, make=Fillmore, model=Fillmore, color=Turquoise, year=1960, price=97211.76]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=122, make=Chrysler, model=New Yorker, color=Maroon, year=1992, price=19728.22]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=508, make=Jaguar, model=XK Series, color=Khaki, year=1999, price=6416.3]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=291, make=Mitsubishi, model=L300, color=Khaki, year=1990, price=99932.82]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=143, make=Buick, model=Skylark, color=Yellow, year=1997, price=9031.94]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=419, make=Pontiac, model=Montana, color=Mauv, year=1999, price=62186.18]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=237, make=Cadillac, model=Catera, color=Teal, year=1998, price=83323.14]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=932, make=Volkswagen, model=Scirocco, color=Aquamarine, year=1985, price=18870.21]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=647, make=Suzuki, model=Sidekick, color=Indigo, year=1992, price=66528.07]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=637, make=Ford, model=Ranger, color=Mauv, year=1996, price=88121.29]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=16, make=Ford, model=Laser, color=Teal, year=1988, price=16117.68]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=94, make=Nissan, model=Pathfinder, color=Green, year=2000, price=43884.95]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=154, make=Oldsmobile, model=Silhouette, color=Khaki, year=1997, price=49429.29]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=261, make=Mercedes-Benz, model=M-Class, color=Violet, year=1998, price=97742.04]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=661, make=Pontiac, model=Bonneville, color=Red, year=1998, price=23585.56]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=236, make=GMC, model=Sonoma, color=Blue, year=1994, price=95535.7]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=973, make=Plymouth, model=Grand Voyager, color=Aquamarine, year=2000, price=85536.24]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=133, make=Audi, model=90, color=Fuscia, year=1994, price=43086.2]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=319, make=Lincoln, model=Town Car, color=Turquoise, year=1993, price=70850.82]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=544, make=Buick, model=Park Avenue, color=Aquamarine, year=1995, price=49461.18]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=323, make=Ford, model=F150, color=Pink, year=1999, price=60658.32]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=534, make=Nissan, model=Sentra, color=Yellow, year=2000, price=84550.23]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=577, make=Cadillac, model=Fleetwood, color=Khaki, year=1993, price=47865.52]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=770, make=Toyota, model=Celica, color=Goldenrod, year=1999, price=78824.89]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=659, make=Volkswagen, model=Beetle, color=Mauv, year=1965, price=15697.27]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=276, make=Maserati, model=Quattroporte, color=Red, year=1984, price=24164.83]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=562, make=Mitsubishi, model=Pajero, color=Turquoise, year=1986, price=11195.31]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=749, make=Chevrolet, model=Corvette, color=Crimson, year=1994, price=62990.81]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=752, make=Dodge, model=Dakota Club, color=Puce, year=1997, price=88941.24]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=186, make=GMC, model=1500 Club Coupe, color=Turquoise, year=1997, price=84115.1]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=74, make=Saturn, model=S-Series, color=Fuscia, year=1999, price=18921.49]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=174, make=Chevrolet, model=Suburban 2500, color=Maroon, year=1993, price=88470.34]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=731, make=Dodge, model=Ram Van B350, color=Puce, year=1992, price=91022.93]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=709, make=Saab, model=900, color=Red, year=1991, price=45455.4]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=475, make=Buick, model=Roadmaster, color=Red, year=1995, price=83600.35]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=409, make=Chevrolet, model=Corvette, color=Red, year=1968, price=52604.15]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=277, make=Mitsubishi, model=GTO, color=Indigo, year=1990, price=21081.48]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=778, make=GMC, model=Sonoma, color=Teal, year=1992, price=52346.81]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=427, make=Ford, model=Bronco, color=Goldenrod, year=1992, price=22221.97]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=899, make=Dodge, model=Grand Caravan, color=Pink, year=1993, price=71138.71]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=600, make=Mazda, model=Protege, color=Violet, year=2000, price=49743.28]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=275, make=Buick, model=LeSabre, color=Crimson, year=2000, price=38866.73]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=338, make=Buick, model=Electra, color=Red, year=1985, price=93820.23]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=578, make=Ford, model=Mustang, color=Goldenrod, year=1992, price=54581.81]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=340, make=Chevrolet, model=Camaro, color=Orange, year=1969, price=64793.27]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=656, make=Subaru, model=Outback, color=Turquoise, year=2000, price=60016.94]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=313, make=Pontiac, model=Sunfire, color=Violet, year=1996, price=88916.29]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=314, make=Mitsubishi, model=Expo, color=Orange, year=1992, price=97237.11]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=748, make=Mercury, model=Cougar, color=Puce, year=1968, price=90575.17]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=627, make=Pontiac, model=GTO, color=Khaki, year=1969, price=15705.65]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=193, make=Ford, model=Aspire, color=Fuscia, year=1995, price=45388.6]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=947, make=Daewoo, model=Nubira, color=Pink, year=1999, price=92830.47]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=959, make=Cadillac, model=DeVille, color=Violet, year=1998, price=88184.37]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=136, make=Pontiac, model=Firebird Trans Am, color=Maroon, year=1986, price=62525.95]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=639, make=Mercedes-Benz, model=E-Class, color=Violet, year=1994, price=10498.66]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=801, make=Subaru, model=Legacy, color=Yellow, year=1997, price=10562.14]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=881, make=Chevrolet, model=Express 2500, color=Green, year=1997, price=7310.95]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=822, make=Isuzu, model=Trooper, color=Yellow, year=1993, price=27531.59]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=110, make=Audi, model=90, color=Red, year=1990, price=33268.78]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=416, make=Nissan, model=Maxima, color=Fuscia, year=2000, price=35225.29]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=604, make=Volvo, model=V70, color=Turquoise, year=2000, price=70224.1]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=240, make=Dodge, model=Neon, color=Maroon, year=1999, price=60665.67]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=804, make=Isuzu, model=Rodeo, color=Puce, year=1992, price=17780.79]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=135, make=Ford, model=Probe, color=Violet, year=1995, price=98156.86]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=615, make=Porsche, model=924 S, color=Aquamarine, year=1987, price=72830.12]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=89, make=Mitsubishi, model=Pajero, color=Goldenrod, year=1995, price=39089.61]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=451, make=Suzuki, model=SJ, color=Green, year=1990, price=76253.35]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=751, make=GMC, model=1500 Club Coupe, color=Indigo, year=1994, price=33072.86]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=553, make=Chevrolet, model=Camaro, color=Indigo, year=1968, price=18600.48]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=28, make=Chrysler, model=LHS, color=Khaki, year=1997, price=25354.06]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=97, make=Isuzu, model=Space, color=Crimson, year=1992, price=41860.48]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=988, make=Volkswagen, model=Passat, color=Purple, year=1987, price=88405.64]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=684, make=Buick, model=Century, color=Purple, year=1991, price=87811.79]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=49, make=Audi, model=4000, color=Maroon, year=1987, price=46679.66]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=211, make=Ford, model=Mustang, color=Indigo, year=1990, price=22388.51]Error Message is [This model is old. We are not accept this model!!!]"
"Car [id=827, make=Dodge, model=Neon, color=Green, year=1998, price=74904.6]Error Message is [This model is old. We are not accept this model!!!]"
